h,k,l,Fo^2_raw,Fo^2_sigma_raw,asu_h,asu_k,asu_l,Resolution,xobs,yobs,zobs,frame,Fc^2,Fo^2_fcf,Fo^2_sigma_fcf,fcf_asu_count,Fo^2_scaled,Fo^2_sigma_scaled,SRES,absSRES,Miller,asu,hkl
-4,15,-4,369.7,865.3389999999999,4,15,4,0.7428630098220451,399.0,395.9,7.2,7,0.5,1.61,1.68,15,0.29805284711958074,0.6976379569207759,-0.2894727141449852,0.2894727141449852,"(-4, 15, -4)","(4, 15, 4)","(-4, 15, -4)"
1,-4,1,336064.99999999994,134554.0,1,4,1,2.806978219050199,204.2,210.9,7.2,7,211.81,246.45,98.64,16,270.9362457864265,108.47769215939428,0.5450544218764164,0.5450544218764164,"(1, -4, 1)","(1, 4, 1)","(1, -4, 1)"
0,-7,12,35331.0,15127.0,0,12,7,0.8572285775666206,58.3,260.4,7.4,7,31.605,41.44,17.3,12,28.48391977706764,12.195416333183386,-0.2559224004874674,0.2559224004874674,"(0, -7, 12)","(0, 12, 7)","(0, -7, 12)"
1,3,-13,769.11,1446.6699999999998,1,13,3,0.8901204519582807,410.9,185.1,7.5,8,0.02,2.7750000000000004,2.0549999999999997,30,0.6200579530650278,1.1663081210237594,0.5144935049738917,0.5144935049738917,"(1, 3, -13)","(1, 13, 3)","(1, 3, -13)"
4,-6,-16,3995.1,2448.3700000000003,4,16,6,0.6785782525289142,378.8,56.0,7.7,8,4.0,5.1850000000000005,3.045,26,3.2208572613671547,1.9738805769601515,-0.3947263819945752,0.3947263819945752,"(4, -6, -16)","(4, 16, 6)","(4, -6, -16)"
2,-13,10,9793.480000000001,4869.06,2,13,10,0.7207654686552771,36.1,175.0,7.8,8,1.22,2.19,1.81,21,7.895522307840606,3.9254454849771867,1.700577000339976,1.700577000339976,"(2, -13, 10)","(2, 13, 10)","(2, -13, 10)"
0,5,-10,15244.0,6764.949999999999,0,10,5,1.0651733417618001,392.4,232.0,8.5,8,12.62,18.67,8.19,10,12.28974195696751,5.4539156292172235,-0.06055429997179639,0.06055429997179639,"(0, 5, -10)","(0, 10, 5)","(0, 5, -10)"
4,-18,6,933.6800000000001,1382.8,4,18,6,0.6141597810847986,44.0,85.6,8.7,9,0.81,1.18,1.53,24,0.7527346018355698,1.1148160048605795,-0.05136757807095881,0.05136757807095881,"(4, -18, 6)","(4, 18, 6)","(4, -18, 6)"
1,-10,11,23440.0,10462.0,1,11,10,0.7992797461543818,47.2,218.2,8.8,9,5.63,8.67,4.365,24,18.89737283333236,8.434484410508666,1.5729915650566992,1.5729915650566992,"(1, -10, 11)","(1, 11, 10)","(1, -10, 11)"
3,-2,-17,1084.73,1504.15,2,17,3,0.6852859436055226,419.1,95.3,9.3,9,1.62,3.035,2.2800000000000002,30,0.874511400746613,1.2126486069648834,-0.6147606115833153,0.6147606115833153,"(3, -2, -17)","(2, 17, 3)","(3, -2, -17)"
